date,price
2015-08-22,19.33
2015-08-23,16.85
2015-08-24,23.04
2015-08-25,20.91
2015-08-26,24.04
2015-08-27,17.62
2015-08-28,18.53
2015-08-29,16.66
2015-08-30,19.21
2015-08-31,31.46
2015-09-01,29.35
2015-09-02,18.68
2015-09-03,37.43
2015-09-04,26.36
2015-09-05,18.8
2015-09-06,14.34
2015-09-07,25.57
2015-09-08,22.89
2015-09-09,27.45
2015-09-10,29.34
2015-09-11,24.45
2015-09-12,20.86
2015-09-13,20.62
2015-09-14,19.69
2015-09-15,18.59
2015-09-16,27.81
2015-09-17,19.33
2015-09-18,16.11
2015-09-19,15.71
2015-09-20,17.1
2015-09-21,22.45
2015-09-22,19.93
2015-09-23,20.24
2015-09-24,18.55
2015-09-25,15.3
2015-09-26,14.23
2015-09-27,14.77
2015-09-28,18.86
2015-09-29,17.54
2015-09-30,14.94
2015-10-01,12.97
2015-10-02,10.9
2015-10-03,12.56
2015-10-04,13.48
2015-10-05,16.52
2015-10-06,13.25
2015-10-07,14.47
2015-10-08,18.34
2015-10-09,25.61
2015-10-10,20.64
2015-10-11,20.13
2015-10-12,24.7
2015-10-13,26.25
2015-10-14,23.87
2015-10-15,23.54
2015-10-16,23.84
2015-10-17,23.37
2015-10-18,23.96
2015-10-19,36.83
2015-10-20,37.31
2015-10-21,25.97
2015-10-22,23.8
2015-10-23,23.31
2015-10-24,23.94
2015-10-25,23.01
2015-10-26,35.1
2015-10-27,31.64
2015-10-28,27.07
2015-10-29,35.69
2015-10-30,35.53
2015-10-31,24.91
2015-11-01,24.51
2015-11-02,25.44
2015-11-03,25.69
2015-11-04,26.53
2015-11-05,27.02
2015-11-06,25.72
2015-11-07,22.99
2015-11-08,22.16
2015-11-09,22.59
2015-11-10,22.24
2015-11-11,24.35
2015-11-12,24.33
2015-11-13,23.28
2015-11-14,20.62
2015-11-15,22.82
2015-11-16,23.8
2015-11-17,24.98
2015-11-18,24.18
2015-11-19,24.64
2015-11-20,27.27
2015-11-21,24.88
2015-11-22,24.41
2015-11-23,61.75
2015-11-24,25.38
2015-11-25,32.54
2015-11-26,33.35
2015-11-27,22.57
2015-11-28,20.68
2015-11-29,19.81
2015-11-30,22.54
2015-12-01,23.98
2015-12-02,27.0
2015-12-03,25.83
2015-12-04,20.53
2015-12-05,15.23
2015-12-06,11.35
2015-12-07,23.41
2015-12-08,23.46
2015-12-09,19.33
2015-12-10,18.04
2015-12-11,19.71
2015-12-12,19.68
2015-12-13,23.6
2015-12-14,38.56
2015-12-15,37.77
2015-12-16,34.85
2015-12-17,29.12
2015-12-18,18.19
2015-12-19,15.52
2015-12-20,12.82
2015-12-21,13.25
2015-12-22,13.09
2015-12-23,11.89
2015-12-24,10.94
2015-12-25,8.93
2015-12-26,12.13
2015-12-27,14.73
2015-12-28,18.85
2015-12-29,16.22
2015-12-30,15.66
2015-12-31,13.73
2016-01-01,16.62
2016-01-02,15.62
2016-01-03,16.96
2016-01-04,19.06
2016-01-05,21.18
2016-01-06,28.69
2016-01-07,49.99
2016-01-08,30.48
2016-01-09,24.79
2016-01-10,21.51
2016-01-11,32.48
2016-01-12,30.59
2016-01-13,34.47
2016-01-14,55.86
2016-01-15,58.24
2016-01-16,27.98
2016-01-17,26.44
2016-01-18,43.21
2016-01-19,57.16
2016-01-20,50.92
2016-01-21,88.1
2016-01-22,41.86
2016-01-23,23.86
2016-01-24,22.27
2016-01-25,24.19
2016-01-26,18.2
2016-01-27,16.66
2016-01-28,16.79
2016-01-29,16.13
2016-01-30,13.65
2016-01-31,16.46
2016-02-01,18.62
2016-02-02,16.9
2016-02-03,17.75
2016-02-04,18.22
2016-02-05,20.78
2016-02-06,16.01
2016-02-07,14.7
2016-02-08,14.4
2016-02-09,16.98
2016-02-10,19.66
2016-02-11,20.54
2016-02-12,23.15
2016-02-13,18.64
2016-02-14,17.53
2016-02-15,21.5
2016-02-16,26.17
2016-02-17,18.58
2016-02-18,23.1
2016-02-19,20.7
2016-02-20,16.35
2016-02-21,16.1
2016-02-22,18.66
2016-02-23,19.78
2016-02-24,20.02
2016-02-25,25.83
2016-02-26,22.7
2016-02-27,19.52
2016-02-28,18.94
2016-02-29,22.22
2016-03-01,19.98
2016-03-02,21.84
2016-03-03,22.41
2016-03-04,22.19
2016-03-05,20.09
2016-03-06,19.79
2016-03-07,23.49
2016-03-08,25.62
2016-03-09,22.87
2016-03-10,23.83
2016-03-11,26.8
2016-03-12,23.1
2016-03-13,21.88
2016-03-14,22.67
2016-03-15,22.47
2016-03-16,21.86
2016-03-17,22.17
2016-03-18,21.75
2016-03-19,21.46
2016-03-20,20.38
2016-03-21,21.46
2016-03-22,22.12
2016-03-23,21.59
2016-03-24,21.17
2016-03-25,20.52
2016-03-26,19.54
2016-03-27,16.7
2016-03-28,17.03
2016-03-29,19.66
2016-03-30,21.4
2016-03-31,21.86
2016-04-01,22.28
2016-04-02,20.54
2016-04-03,19.77
2016-04-04,22.84
2016-04-05,24.94
2016-04-06,21.03
2016-04-07,20.17
2016-04-08,21.64
2016-04-09,21.49
2016-04-10,20.51
2016-04-11,22.46
2016-04-12,22.16
2016-04-13,24.42
2016-04-14,24.95
2016-04-15,22.32
2016-04-16,20.66
2016-04-17,18.51
2016-04-18,20.68
2016-04-19,19.79
2016-04-20,21.42
2016-04-21,21.42
2016-04-22,21.44
2016-04-23,21.75
2016-04-24,21.38
2016-04-25,24.38
2016-04-26,24.08
2016-04-27,24.09
2016-04-28,25.69
2016-04-29,22.49
2016-04-30,22.65
2016-05-01,21.72
2016-05-02,24.95
2016-05-03,24.42
2016-05-04,25.36
2016-05-05,21.29
2016-05-06,21.77
2016-05-07,18.56
2016-05-08,15.91
2016-05-09,21.15
2016-05-10,23.48
2016-05-11,24.39
2016-05-12,24.72
2016-05-13,25.92
2016-05-14,20.32
2016-05-15,20.03
2016-05-16,22.12
2016-05-17,26.11
2016-05-18,29.89
2016-05-19,32.62
2016-05-20,24.85
2016-05-21,22.88
2016-05-22,22.15
2016-05-23,24.23
2016-05-24,24.06
2016-05-25,24.31
2016-05-26,25.29
2016-05-27,26.5
2016-05-28,23.44
2016-05-29,20.84
2016-05-30,22.72
2016-05-31,27.6
2016-06-01,30.36
2016-06-02,29.37
2016-06-03,28.93
2016-06-04,25.51
2016-06-05,25.3
2016-06-06,30.84
2016-06-07,32.56
2016-06-08,29.1
2016-06-09,32.16
2016-06-10,31.07
2016-06-11,29.37
2016-06-12,28.85
2016-06-13,30.84
2016-06-14,36.72
2016-06-15,32.36
2016-06-16,36.81
2016-06-17,34.51
2016-06-18,25.28
2016-06-19,25.07
2016-06-20,33.07
2016-06-21,33.22
2016-06-22,35.85
2016-06-23,32.89
2016-06-24,30.07
2016-06-25,28.51
2016-06-26,27.06
2016-06-27,54.2
2016-06-28,78.29
2016-06-29,48.29
2016-06-30,35.31
2016-07-01,29.05
2016-07-02,23.09
2016-07-03,23.53
2016-07-04,31.57
2016-07-05,28.89
2016-07-06,24.95
2016-07-07,28.57
2016-07-08,29.24
2016-07-09,26.73
2016-07-10,27.11
2016-07-11,27.95
2016-07-12,29.74
2016-07-13,32.9
2016-07-14,30.15
2016-07-15,29.23
2016-07-16,28.35
2016-07-17,26.04
2016-07-18,29.84
2016-07-19,31.71
2016-07-20,30.5
2016-07-21,31.07
2016-07-22,31.31
2016-07-23,30.12
2016-07-24,29.28
2016-07-25,31.61
2016-07-26,31.15
2016-07-27,30.95
2016-07-28,29.77
2016-07-29,29.51
2016-07-30,27.84
2016-07-31,25.79
2016-08-01,29.01
2016-08-02,31.55
2016-08-03,30.07
2016-08-04,29.26
2016-08-05,31.53
2016-08-06,27.42
2016-08-07,24.17
2016-08-08,24.76
2016-08-09,27.81
2016-08-10,31.16
2016-08-11,33.83
2016-08-12,29.89
2016-08-13,23.73
2016-08-14,25.41
2016-08-15,31.85
2016-08-16,30.8
2016-08-17,32.71
2016-08-18,31.9
2016-08-19,35.86
2016-08-20,31.13
2016-08-21,29.75
2016-08-22,36.94
2016-08-23,35.48
2016-08-24,35.64
2016-08-25,31.4
2016-08-26,29.92
2016-08-27,26.24
2016-08-28,27.17
2016-08-29,31.36
2016-08-30,34.73
2016-08-31,32.75
2016-09-01,30.46
2016-09-02,30.23
2016-09-03,28.36
2016-09-04,26.03
2016-09-05,36.64
2016-09-06,30.36
2016-09-07,29.21
2016-09-08,31.85
2016-09-09,31.46
2016-09-10,27.57
2016-09-11,24.92
2016-09-12,30.64
2016-09-13,30.76
2016-09-14,30.14
2016-09-15,29.47
2016-09-16,27.6
2016-09-17,26.33
2016-09-18,26.68
2016-09-19,34.84
2016-09-20,34.13
2016-09-21,31.54
2016-09-22,31.42
2016-09-23,30.14
2016-09-24,28.04
2016-09-25,25.6
2016-09-26,31.06
2016-09-27,29.23
2016-09-28,23.65
2016-09-29,23.61
2016-09-30,24.59
2016-10-01,26.95
2016-10-02,27.61
2016-10-03,29.69
2016-10-04,30.33
2016-10-05,30.7
2016-10-06,32.33
2016-10-07,32.86
2016-10-08,32.04
2016-10-09,31.67
2016-10-10,48.38
2016-10-11,36.6
2016-10-12,39.4
2016-10-13,42.41
2016-10-14,35.51
2016-10-15,30.86
2016-10-16,31.74
2016-10-17,35.91
2016-10-18,36.83
2016-10-19,38.29
2016-10-20,40.11
2016-10-21,38.57
2016-10-22,35.19
2016-10-23,35.18
2016-10-24,40.48
2016-10-25,51.4
2016-10-26,44.63
2016-10-27,38.92
2016-10-28,34.55
2016-10-29,32.47
2016-10-30,36.2
2016-10-31,43.84
2016-11-01,38.29
2016-11-02,38.49
2016-11-03,45.36
2016-11-04,41.81
2016-11-05,39.01
2016-11-06,38.28
2016-11-07,45.18
2016-11-08,54.45
2016-11-09,50.08
2016-11-10,54.77
2016-11-11,55.42
2016-11-12,42.94
2016-11-13,40.87
2016-11-14,42.77
2016-11-15,40.97
2016-11-16,42.68
2016-11-17,39.82
2016-11-18,37.36
2016-11-19,34.65
2016-11-20,35.61
2016-11-21,35.09
2016-11-22,39.11
2016-11-23,39.62
2016-11-24,39.32
2016-11-25,38.6
2016-11-26,32.56
2016-11-27,30.8
2016-11-28,41.31
2016-11-29,39.19
2016-11-30,35.07
2016-12-01,36.24
2016-12-02,36.78
2016-12-03,37.81
2016-12-04,35.12
2016-12-05,36.61
2016-12-06,52.61
2016-12-07,35.77
2016-12-08,30.91
2016-12-09,31.24
2016-12-10,31.48
2016-12-11,31.79
2016-12-12,43.04
2016-12-13,35.14
2016-12-14,40.81
2016-12-15,40.02
2016-12-16,46.04
2016-12-17,34.63
2016-12-18,32.87
2016-12-19,33.97
2016-12-20,32.57
2016-12-21,29.9
2016-12-22,29.4
2016-12-23,27.3
2016-12-24,21.76
2016-12-25,21.55
2016-12-26,22.69
2016-12-27,25.53
2016-12-28,31.19
2016-12-29,30.5
2016-12-30,28.78
2016-12-31,21.87
2017-01-01,27.55
2017-01-02,33.45
2017-01-03,32.95
2017-01-04,31.61
2017-01-05,43.69
2017-01-06,33.66
2017-01-07,31.1
2017-01-08,30.91
2017-01-09,31.4
2017-01-10,29.57
2017-01-11,27.31
2017-01-12,27.32
2017-01-13,35.02
2017-01-14,30.79
2017-01-15,31.02
2017-01-16,51.49
2017-01-17,34.4
2017-01-18,29.74
2017-01-19,29.04
2017-01-20,28.72
2017-01-21,28.73
2017-01-22,29.05
2017-01-23,29.31
2017-01-24,36.32
2017-01-25,29.81
2017-01-26,29.63
2017-01-27,30.59
2017-01-28,29.43
2017-01-29,28.7
2017-01-30,32.31
2017-01-31,35.21
2017-02-01,32.03
2017-02-02,31.84
2017-02-03,33.4
2017-02-04,31.95
2017-02-05,31.71
2017-02-06,34.94
2017-02-07,42.13
2017-02-08,45.68
2017-02-09,46.58
2017-02-10,38.81
2017-02-11,32.27
2017-02-12,31.66
2017-02-13,33.33
2017-02-14,34.19
2017-02-15,43.21
2017-02-16,31.55
2017-02-17,31.15
2017-02-18,30.16
2017-02-19,27.11
2017-02-20,28.68
2017-02-21,29.35
2017-02-22,28.49
2017-02-23,28.36
2017-02-24,30.24
2017-02-25,29.97
2017-02-26,28.64
2017-02-27,29.94
2017-02-28,29.36
2017-03-01,30.78
2017-03-02,30.94
2017-03-03,31.06
2017-03-04,30.17
2017-03-05,28.41
2017-03-06,33.12
2017-03-07,41.64
2017-03-08,33.81
2017-03-09,32.22
2017-03-10,31.58
2017-03-11,31.07
2017-03-12,29.12
2017-03-13,31.93
2017-03-14,28.96
2017-03-15,23.91
2017-03-16,28.93
2017-03-17,26.08
2017-03-18,26.51
2017-03-19,27.92
2017-03-20,30.0
2017-03-21,26.83
2017-03-22,28.66
2017-03-23,31.33
2017-03-24,31.92
2017-03-25,27.89
2017-03-26,26.89
2017-03-27,29.72
2017-03-28,32.71
2017-03-29,34.39
2017-03-30,33.12
2017-03-31,30.51
2017-04-01,27.16
2017-04-02,27.44
2017-04-03,34.0
2017-04-04,28.39
2017-04-05,26.79
2017-04-06,27.29
2017-04-07,28.89
2017-04-08,28.3
2017-04-09,25.51
2017-04-10,24.56
2017-04-11,22.39
2017-04-12,27.14
2017-04-13,26.97
2017-04-14,28.22
2017-04-15,28.14
2017-04-16,28.84
2017-04-17,28.68
2017-04-18,33.56
2017-04-19,35.83
2017-04-20,29.82
2017-04-21,20.12
2017-04-22,14.2
2017-04-23,26.44
2017-04-24,32.19
2017-04-25,35.44
2017-04-26,38.8
2017-04-27,36.54
2017-04-28,34.72
2017-04-29,31.0
2017-04-30,28.93
2017-05-01,26.87
2017-05-02,30.61
2017-05-03,31.01
2017-05-04,29.45
2017-05-05,29.79
2017-05-06,29.59
2017-05-07,28.27
2017-05-08,29.98
2017-05-09,35.14
2017-05-10,36.84
2017-05-11,34.26
2017-05-12,31.79
2017-05-13,30.22
2017-05-14,28.59
2017-05-15,32.91
2017-05-16,31.38
2017-05-17,30.26
2017-05-18,28.0
2017-05-19,31.52
2017-05-20,24.02
2017-05-21,18.78
2017-05-22,31.53
2017-05-23,30.03
2017-05-24,27.04
2017-05-25,24.86
2017-05-26,29.12
2017-05-27,25.59
2017-05-28,21.07
2017-05-29,34.37
2017-05-30,36.95
2017-05-31,27.27
2017-06-01,30.97
2017-06-02,34.96
2017-06-03,27.37
2017-06-04,24.8
2017-06-05,25.38
2017-06-06,21.46
2017-06-07,18.05
2017-06-08,26.44
2017-06-09,31.43
2017-06-10,26.93
2017-06-11,21.53
2017-06-12,23.39
2017-06-13,24.64
2017-06-14,32.59
2017-06-15,29.43
2017-06-16,23.59
2017-06-17,21.91
2017-06-18,23.8
2017-06-19,26.21
2017-06-20,25.68
2017-06-21,30.74
2017-06-22,34.18
2017-06-23,26.42
2017-06-24,22.55
2017-06-25,20.03
2017-06-26,25.49
2017-06-27,34.61
2017-06-28,34.16
2017-06-29,34.42
2017-06-30,27.85
2017-07-01,27.28
2017-07-02,23.77
2017-07-03,26.15
2017-07-04,31.62
2017-07-05,37.99
2017-07-06,38.9
2017-07-07,37.33
2017-07-08,32.23
2017-07-09,32.6
2017-07-10,40.19
2017-07-11,36.25
2017-07-12,34.53
2017-07-13,31.68
2017-07-14,35.28
2017-07-15,29.67
2017-07-16,26.29
2017-07-17,26.22
2017-07-18,28.05
2017-07-19,29.55
2017-07-20,31.88
2017-07-21,32.63
2017-07-22,30.23
2017-07-23,26.36
2017-07-24,35.97
2017-07-25,29.48
2017-07-26,29.37
2017-07-27,31.42
2017-07-28,28.68
2017-07-29,22.91
2017-07-30,24.44
2017-07-31,26.89
2017-08-01,27.72
2017-08-02,29.93
2017-08-03,27.69
2017-08-04,24.67
2017-08-05,24.44
2017-08-06,21.52
2017-08-07,31.86
2017-08-08,30.43
2017-08-09,27.49
2017-08-10,34.9
2017-08-11,36.46
2017-08-12,23.8
2017-08-13,23.19
2017-08-14,34.31
2017-08-15,31.08
2017-08-16,35.88
2017-08-17,38.85
2017-08-18,36.14
2017-08-19,27.71
2017-08-20,24.99
2017-08-21,37.38
2017-08-22,44.29
2017-08-23,59.36
2017-08-24,41.85
2017-08-25,39.7
2017-08-26,33.88
2017-08-27,34.94
2017-08-28,47.53
2017-08-29,34.67
2017-08-30,37.33
2017-08-31,38.47
2017-09-01,38.12
2017-09-02,34.03
2017-09-03,33.35
2017-09-04,39.5
2017-09-05,46.67
2017-09-06,44.77
2017-09-07,41.5
2017-09-08,37.56
2017-09-09,31.91
2017-09-10,30.61
2017-09-11,35.38
2017-09-12,33.0
2017-09-13,36.51
2017-09-14,38.39
2017-09-15,38.5
2017-09-16,36.05
2017-09-17,36.35
2017-09-18,42.62
2017-09-19,40.79
2017-09-20,40.94
2017-09-21,37.99
2017-09-22,36.24
2017-09-23,32.45
2017-09-24,32.6
2017-09-25,33.3
2017-09-26,34.85
2017-09-27,36.16
2017-09-28,32.6
2017-09-29,31.7
2017-09-30,29.24
2017-10-01,27.7
2017-10-02,26.89
2017-10-03,26.13
2017-10-04,25.92
2017-10-05,31.03
2017-10-06,30.6
2017-10-07,28.88
2017-10-08,29.25
2017-10-09,41.04
2017-10-10,39.94
2017-10-11,50.57
2017-10-12,28.92
2017-10-13,32.7
2017-10-14,26.83
2017-10-15,26.38
2017-10-16,27.04
2017-10-17,27.77
2017-10-18,36.96
2017-10-19,39.9
2017-10-20,33.49
2017-10-21,29.0
2017-10-22,28.94
2017-10-23,32.12
2017-10-24,30.25
2017-10-25,28.03
2017-10-26,29.17
2017-10-27,27.92
2017-10-28,25.21
2017-10-29,23.22
2017-10-30,24.82
2017-10-31,32.16
2017-11-01,28.69
2017-11-02,26.86
2017-11-03,28.75
2017-11-04,27.65
2017-11-05,27.3
2017-11-06,29.52
2017-11-07,30.89
2017-11-08,31.05
2017-11-09,29.29
2017-11-10,29.17
2017-11-11,28.76
2017-11-12,29.78
2017-11-13,31.95
2017-11-14,31.84
2017-11-15,31.12
2017-11-16,30.74
2017-11-17,29.23
2017-11-18,27.25
2017-11-19,28.61
2017-11-20,39.64
2017-11-21,48.78
2017-11-22,31.16
2017-11-23,28.12
2017-11-24,31.72
2017-11-25,30.44
2017-11-26,28.66
2017-11-27,32.53
2017-11-28,37.0
2017-11-29,48.1
2017-11-30,44.16
2017-12-01,39.43
2017-12-02,30.52
2017-12-03,29.14
2017-12-04,34.66
2017-12-05,30.57
2017-12-06,31.07
2017-12-07,28.27
2017-12-08,26.18
2017-12-09,27.28
2017-12-10,28.37
2017-12-11,40.8
2017-12-12,33.26
2017-12-13,29.38
2017-12-14,30.43
2017-12-15,36.81
2017-12-16,30.96
2017-12-17,30.3
2017-12-18,40.77
2017-12-19,46.38
2017-12-20,31.41
2017-12-21,29.32
2017-12-22,28.96
2017-12-23,17.28
2017-12-24,23.8
2017-12-25,26.05
2017-12-26,25.46
2017-12-27,29.0
2017-12-28,31.45
2017-12-29,28.64
2017-12-30,26.84
2017-12-31,26.98
2018-01-01,24.46
2018-01-02,31.6
2018-01-03,28.8
2018-01-04,31.97
2018-01-05,31.12
2018-01-06,31.08
2018-01-07,28.37
2018-01-08,32.17
2018-01-09,30.16
2018-01-10,40.02
2018-01-11,43.03
2018-01-12,35.78
2018-01-13,31.12
2018-01-14,29.76
2018-01-15,28.13
2018-01-16,31.06
2018-01-17,33.67
2018-01-18,35.74
2018-01-19,40.3
2018-01-20,34.55
2018-01-21,34.64
2018-01-22,40.26
2018-01-23,36.55
2018-01-24,28.18
2018-01-25,28.08
2018-01-26,32.4
2018-01-27,31.3
2018-01-28,28.12
2018-01-29,29.65
2018-01-30,32.32
2018-01-31,29.8
2018-02-01,30.54
2018-02-02,35.53
2018-02-03,34.33
2018-02-04,33.57
2018-02-05,51.71
2018-02-06,47.57
2018-02-07,45.76
2018-02-08,40.07
2018-02-09,32.27
2018-02-10,32.22
2018-02-11,29.71
2018-02-12,31.41
2018-02-13,37.25
2018-02-14,35.84
2018-02-15,32.68
2018-02-16,36.1
2018-02-17,38.2
2018-02-18,36.17
2018-02-19,47.99
2018-02-20,48.65
2018-02-21,46.94
2018-02-22,48.3
2018-02-23,44.6
2018-02-24,38.46
2018-02-25,38.57
2018-02-26,45.93
2018-02-27,47.07
2018-02-28,48.42
2018-03-01,93.14
2018-03-02,57.51
2018-03-03,43.29
2018-03-04,41.02
2018-03-05,52.1
2018-03-06,48.57
2018-03-07,47.16
2018-03-08,40.18
2018-03-09,40.29
2018-03-10,37.35
2018-03-11,36.28
2018-03-12,42.19
2018-03-13,42.59
2018-03-14,47.68
2018-03-15,45.68
2018-03-16,41.53
2018-03-17,37.98
2018-03-18,37.35
2018-03-19,42.01
2018-03-20,43.58
2018-03-21,42.21
2018-03-22,41.1
2018-03-23,47.25
2018-03-24,40.22
2018-03-25,39.71
2018-03-26,47.77
2018-03-27,46.13
2018-03-28,46.27
2018-03-29,40.87
2018-03-30,40.91
2018-03-31,39.99
2018-04-01,39.25
2018-04-02,39.44
2018-04-03,43.88
2018-04-04,42.5
2018-04-05,42.79
2018-04-06,39.79
2018-04-07,39.4
2018-04-08,39.52
2018-04-09,43.2
2018-04-10,40.68
2018-04-11,41.01
2018-04-12,40.7
2018-04-13,40.0
2018-04-14,37.51
2018-04-15,39.84
2018-04-16,47.64
2018-04-17,44.16
2018-04-18,41.7
2018-04-19,39.7
2018-04-20,36.5
2018-04-21,31.42
2018-04-22,34.97
2018-04-23,34.6
2018-04-24,33.73
2018-04-25,36.85
2018-04-26,36.45
2018-04-27,37.02
2018-04-28,35.7
2018-04-29,35.03
2018-04-30,31.65
2018-05-01,21.49
2018-05-02,35.76
2018-05-03,36.38
2018-05-04,35.73
2018-05-05,31.71
2018-05-06,20.11
2018-05-07,24.24
2018-05-08,24.17
2018-05-09,16.13
2018-05-10,14.91
2018-05-11,28.42
2018-05-12,30.53
2018-05-13,18.94
2018-05-14,36.4
2018-05-15,39.37
2018-05-16,38.77
2018-05-17,29.36
2018-05-18,31.44
2018-05-19,34.99
2018-05-20,25.5
2018-05-21,27.54
2018-05-22,38.06
2018-05-23,39.64
2018-05-24,40.46
2018-05-25,40.79
2018-05-26,38.94
2018-05-27,37.81
2018-05-28,44.14
2018-05-29,43.37
2018-05-30,45.74
2018-05-31,43.99
2018-06-01,45.97
2018-06-02,43.05
2018-06-03,42.34
2018-06-04,42.61
2018-06-05,45.24
2018-06-06,46.37
2018-06-07,46.99
2018-06-08,48.26
2018-06-09,46.24
2018-06-10,46.07
2018-06-11,46.72
2018-06-12,46.73
2018-06-13,50.28
2018-06-14,46.48
2018-06-15,44.6
2018-06-16,44.34
2018-06-17,43.54
2018-06-18,43.88
2018-06-19,40.95
2018-06-20,42.53
2018-06-21,40.76
2018-06-22,30.86
2018-06-23,34.2
2018-06-24,42.03
2018-06-25,44.9
